entity_id,window_start,label,attack_type,severity,duration_s,packet_count,src_bytes,dst_bytes,unique_dst_ports,unique_dst_ips,failed_auth_count,conn_rate_per_min,avg_packet_size,off_hours_flag,internal_dst_ratio,admin_proto_ratio,novel_peer_ratio
host-001,2026-07-14 00:00:00,0,none,none,28.869167978588617,31,27553.213759071874,38952.70808671988,2,2,0,13.38707087879675,747.2536821830954,0,0.49254931644416544,0.06351797646682159,0.0
host-001,2026-07-14 00:05:00,0,none,none,18.791743185086293,32,40269.016342134906,22809.880080916195,2,3,0,10.555891137648075,684.2092339748324,0,0.520021322360572,0.025872258342256458,0.0
host-001,2026-07-14 00:10:00,0,none,none,29.400742761415962,30,36317.402447700835,33512.183417712295,1,2,0,6.9812533396733905,703.6413503259635,1,0.5974239942282967,0.049311365871673674,0.0
host-001,2026-07-14 00:15:00,0,none,none,27.37282084185734,28,27750.623500051137,25395.876338511633,1,4,0,10.619805995503643,765.7294540956069,0,0.5512736778314837,0.0,0.0
host-001,2026-07-14 00:20:00,0,none,none,18.312422889730332,34,24928.285290868334,26743.494902531183,1,5,0,9.507744013849958,739.8690206223442,0,0.5593993063458711,0.09309196052918417,0.0
host-001,2026-07-14 00:25:00,0,none,none,28.612700782473127,22,22277.830986955065,23030.112358118036,2,3,0,10.943611128930879,891.4424366676795,0,0.5908038893660753,0.015352450188600791,0.0
host-001,2026-07-14 00:30:00,0,none,none,21.21281288268323,28,45700.14095566368,29842.74965410694,1,5,0,11.214689152917813,741.6808472538232,0,0.48044179372540585,0.023281811853484116,0.0
host-001,2026-07-14 00:35:00,0,none,none,25.948790742925567,29,27824.775711991533,32313.9004335544,1,10,0,12.251322608064084,782.6326493994867,0,0.4481983987643424,0.09456643175649421,0.0
host-001,2026-07-14 00:40:00,0,none,none,27.47777940454544,22,49247.66545560208,29274.485653466872,1,7,0,10.288260154100758,742.5884171661577,0,0.6378717607283639,0.06118205689967449,0.0
host-001,2026-07-14 00:45:00,0,none,none,24.71567617031746,21,36997.56056726795,50024.37687527608,3,2,0,8.146334415687567,642.8012413818531,0,0.47265798175523055,0.0291554109685745,0.0
host-001,2026-07-14 00:50:00,0,none,none,13.2690735224256,28,21252.9542141195,19122.473309699875,1,2,0,7.5226658805279705,756.9219124096458,0,0.5924324206613252,0.033753911652653734,0.0
host-001,2026-07-14 00:55:00,0,none,none,208.80860420349666,23,3210199.3801177107,37158.70082106864,1,4,0,13.296196090005187,866.0398773146869,1,0.49660655792841424,0.011666249630054179,0.0
host-001,2026-07-14 01:00:00,0,none,none,25.231366639685216,31,33551.68314245097,26345.57964660413,2,4,0,12.6104673846589,679.6068988712041,0,0.5313691168541641,0.04319886341469129,0.0
host-001,2026-07-14 01:05:00,0,none,none,33.92205647720697,26,52742.74121790733,32253.374649729347,2,5,0,10.780046155936894,880.8773526249804,0,0.43188791425173634,0.04302999860261069,0.0
host-001,2026-07-14 01:10:00,0,none,none,19.534714116249276,41,21989.074310758682,22761.738731655223,1,9,0,12.13921405239905,793.7399799282118,0,0.5119756417822521,0.06945150448854302,0.0
host-001,2026-07-14 01:15:00,0,none,none,25.939576293813147,40,33328.125113651964,41166.4234165252,3,7,0,8.514575777047327,778.1114098267543,0,0.42947037141928157,0.007489177366372529,0.0
host-001,2026-07-14 01:20:00,0,none,none,15.31045551039673,25,41918.62665853061,29681.948730594857,1,2,0,9.741394960275539,820.8702916912175,0,0.5993445151625646,0.03706343003209534,0.0
host-001,2026-07-14 01:25:00,0,none,none,15.998644994837345,25,27580.898905414564,34907.64159791532,4,4,0,8.258328896196023,682.8063924122714,0,0.5290097996580413,0.06914614437091476,0.0
host-001,2026-07-14 01:30:00,0,none,none,26.479880683734578,37,44269.885224209545,23327.231713321933,1,7,0,11.373052979843731,751.749292840337,0,0.5883213037585933,0.04110446788345637,0.0
host-001,2026-07-14 01:35:00,0,none,none,18.666407543814703,31,37887.60456987342,21374.68553748297,1,2,0,13.003890763627448,837.9981853606103,0,0.5854678109000722,0.03282624669904696,0.0
host-001,2026-07-14 01:40:00,1,exfiltration,stealthy,120.73174196781417,30,1540523.1096712244,187.42188501860596,4,1,0,11.406915182486584,793.6304676004062,1,0.3769487724867092,0.035778402123164334,0.0
host-001,2026-07-14 01:45:00,0,none,none,14.779416167092888,27,59770.03152513307,32218.24368189256,1,3,0,10.018576729678449,811.7381442526522,0,0.6294763673768395,0.09390670221827646,0.0
host-001,2026-07-14 01:50:00,0,none,none,22.538454515217268,28,49741.75810124508,29624.18825036872,1,3,0,10.567480610741178,739.3123041091078,0,0.3661103103119579,0.021441620536431654,0.0
host-001,2026-07-14 01:55:00,0,none,none,22.171358860702917,34,24150.03212691134,34543.54637522729,2,9,0,9.999175395452896,774.707106679302,0,0.6296658998255927,0.06722097395858515,0.0
host-001,2026-07-14 02:00:00,0,none,none,25.22141667745685,85,19514.0012850957,39924.370288314,3,10,0,69.1166791629536,694.7744307554224,0,0.5160040616755628,0.06941663242216606,0.0
